,,,,,,,,,,,,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2
Water System ID,Water System Name,Source,County,Action Taken,,Testing Date,Sample Number,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text,Action & No PFAS detected,Action & PFAS detected below State Action Level (SAL),Action & PFAS detected meeting or exceeding State Action Level (SAL),No Action & No PFAS detected,No Action & PFAS detected below State Action Level (SAL),No Action & PFAS detected meeting or exceeding State Action Level (SAL)
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,6/26/2024,16001,(PFNA) PFnonanoic acid,2.1ng/L,9ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,6/26/2024,16001,(PFOA) PFoctanoic acid,6.3ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,6/26/2024,16001,(PFOS) PFoctane sulfonic acid,19.6ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,6/26/2024,16001,(PFPeA) PFpentanoic acid,7.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFBA) PFbutanoic acid,4.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFBS) PFbutane sulfonic acid,5.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFHpA) PFheptanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFHxA) PFhexanoic acid,9.7ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFHxS) PFhexane sulfonic acid,5.1ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFNA) PFnonanoic acid,2.8ng/L,9ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFOA) PFoctanoic acid,7.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFOS) PFoctane sulfonic acid,21.9ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL),,,,,,
18290,STEVENS CO PUD - RIVERSIDE,6,Spokane,None,,9/11/2024,51101,(PFPeA) PFpentanoic acid,8.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18375,SPOKANE HUTTERIAN BRETHREN,3,Spokane,None,,2/23/2022,71302,(PFBS) PFbutane sulfonic acid,3.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18375,SPOKANE HUTTERIAN BRETHREN,3,Spokane,None,,9/7/2023,32803,(PFBS) PFbutane sulfonic acid,2.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,8/4/2022,45006,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,8/4/2022,45003,(PFBS) PFbutane sulfonic acid,2.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,8/4/2022,45006,(PFHxS) PFhexane sulfonic acid,2.8ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,8/4/2022,45003,(PFHxS) PFhexane sulfonic acid,5.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,8/4/2022,45003,(PFNA) PFnonanoic acid,7.7ng/L,9ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,8/4/2022,45002,(PFOA) PFoctanoic acid,3.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,8/4/2022,45003,(PFOS) PFoctane sulfonic acid,16.5ng/L,15ng/L,PFAS Detected: At or Exceeding State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,8/4/2022,45002,(PFOS) PFoctane sulfonic acid,2.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,8/4/2022,45006,(PFOS) PFoctane sulfonic acid,5.3ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,8/30/2022,6301,(PFHxS) PFhexane sulfonic acid,2.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,8/30/2022,6301,(PFNA) PFnonanoic acid,2.3ng/L,9ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,8/30/2022,6301,(PFOS) PFoctane sulfonic acid,6.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,6/7/2023,41703,(PFBS) PFbutane sulfonic acid,2.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,6/7/2023,41703,(PFHxS) PFhexane sulfonic acid,2.8ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,6/7/2023,41702,(PFNA) PFnonanoic acid,4.5ng/L,9ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,6/7/2023,41701,(PFOA) PFoctanoic acid,2.5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,6/7/2023,41703,(PFOS) PFoctane sulfonic acid,4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,3,Spokane,Yes,,6/7/2023,41702,(PFOS) PFoctane sulfonic acid,7.5ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFBA) PFbutanoic acid,2.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,9/27/2023,64901,(PFBS) PFbutane sulfonic acid,2.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFBS) PFbutane sulfonic acid,3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFDA) PFdecanoic acid,7.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFHpA) PFheptanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFHxA) PFhexanoic acid,4.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,9/27/2023,64901,(PFHxS) PFhexane sulfonic acid,2.7ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFNA) PFnonanoic acid,2.1ng/L,9ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFOA) PFoctanoic acid,5.6ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,9/27/2023,64901,(PFOS) PFoctane sulfonic acid,4.3ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFOS) PFoctane sulfonic acid,4.4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,9/27/2023,64903,(PFPeA) PFpentanoic acid,4.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,12/12/2023,37903,(PFBS) PFbutane sulfonic acid,2.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,12/12/2023,37903,(PFHxS) PFhexane sulfonic acid,2.4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,2,Spokane,None,,12/12/2023,37901,(PFOA) PFoctanoic acid,2.2ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,12/12/2023,37903,(PFOS) PFoctane sulfonic acid,5.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
18500,DEER PARK CITY OF,6,Spokane,None,,2/21/2024,77001,(PFOS) PFoctane sulfonic acid,2.4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,11/29/2022,11701,(PFOA) PFoctanoic acid,7.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,1/25/2023,67401,(PFOA) PFoctanoic acid,10ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,4/12/2023,51001,(PFOA) PFoctanoic acid,5.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,9/25/2023,88301,(PFOA) PFoctanoic acid,5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,12/5/2023,39201,(PFOA) PFoctanoic acid,7.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,2/20/2024,43231,(PFOA) PFoctanoic acid,7.8ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,5/8/2024,62361,(PFOA) PFoctanoic acid,7.8ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19246,PUDDINGSTONE,1,Kitsap,None,,8/15/2024,96711,(PFOA) PFoctanoic acid,7.5ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,5/29/2024,87801,(PFBS) PFbutane sulfonic acid,5.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,5/29/2024,87801,(PFHxA) PFhexanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,5/29/2024,87801,(PFOA) PFoctanoic acid,3.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,5/29/2024,87801,(PFOS) PFoctane sulfonic acid,6ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,5/29/2024,87801,(PFPeA) PFpentanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,8/12/2024,46601,(PFBS) PFbutane sulfonic acid,7.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,8/12/2024,46601,(PFHxA) PFhexanoic acid,4.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,8/12/2024,46601,(PFOA) PFoctanoic acid,6.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,8/12/2024,46601,(PFOS) PFoctane sulfonic acid,8.6ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,8/12/2024,46601,(PFPeA) PFpentanoic acid,4.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,11/27/2024,11101,(PFBS) PFbutane sulfonic acid,7.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,11/27/2024,11101,(PFHxA) PFhexanoic acid,4.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,11/27/2024,11101,(PFOA) PFoctanoic acid,4.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,11/27/2024,11101,(PFOS) PFoctane sulfonic acid,8.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
19571,WINCHESTER MOBILE HOMES WATER,1,Pierce,None,,11/27/2024,11101,(PFPeA) PFpentanoic acid,4.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20030,DRUSE WATER ASSOCIATION,1,Yakima,None,,4/15/2024,42905,(PFHxS) PFhexane sulfonic acid,2.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20030,DRUSE WATER ASSOCIATION,1,Yakima,None,,4/15/2024,42905,(PFOA) PFoctanoic acid,2.6ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20030,DRUSE WATER ASSOCIATION,1,Yakima,None,,4/15/2024,42905,(PFOS) PFoctane sulfonic acid,4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20030,DRUSE WATER ASSOCIATION,1,Yakima,None,,11/6/2024,19701,(PFOA) PFoctanoic acid,3ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20030,DRUSE WATER ASSOCIATION,1,Yakima,None,,11/6/2024,19701,(PFOS) PFoctane sulfonic acid,4.4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20030,DRUSE WATER ASSOCIATION,1,Yakima,None,,11/6/2024,19701,(PFPeA) PFpentanoic acid,2.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17885,(PFHxA) PFhexanoic acid,2.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17885,(PFHxA) PFhexanoic acid,2.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17886,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,3/27/2023,17886,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17886,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,3/27/2023,17886,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17885,(PFHxS) PFhexane sulfonic acid,6.3ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17886,(PFHxS) PFhexane sulfonic acid,6.3ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,3/27/2023,17886,(PFHxS) PFhexane sulfonic acid,6.3ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17885,(PFHxS) PFhexane sulfonic acid,6.3ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17886,(PFHxS) PFhexane sulfonic acid,6.3ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,3/27/2023,17886,(PFHxS) PFhexane sulfonic acid,6.3ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17885,(PFOA) PFoctanoic acid,10ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17885,(PFOA) PFoctanoic acid,10ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17886,(PFOA) PFoctanoic acid,9.6ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,3/27/2023,17886,(PFOA) PFoctanoic acid,9.6ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17886,(PFOA) PFoctanoic acid,9.6ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,3/27/2023,17886,(PFOA) PFoctanoic acid,9.6ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17885,(PFOS) PFoctane sulfonic acid,4.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,3/27/2023,17886,(PFOS) PFoctane sulfonic acid,4.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,3/27/2023,17886,(PFOS) PFoctane sulfonic acid,4.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17885,(PFOS) PFoctane sulfonic acid,4.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,3/27/2023,17886,(PFOS) PFoctane sulfonic acid,4.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,3/27/2023,17886,(PFOS) PFoctane sulfonic acid,4.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,6/26/2023,27522,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,4,Pierce,None,,6/26/2023,27522,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,6/26/2023,27522,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,6/26/2023,27522,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,6/26/2023,27522,(PFHxA) PFhexanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,6/26/2023,27521,(PFHxS) PFhexane sulfonic acid,4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,4,Pierce,None,,6/26/2023,27521,(PFHxS) PFhexane sulfonic acid,4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,6/26/2023,27521,(PFHxS) PFhexane sulfonic acid,4ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,6/26/2023,27522,(PFHxS) PFhexane sulfonic acid,5.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,4,Pierce,None,,6/26/2023,27522,(PFHxS) PFhexane sulfonic acid,5.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,6/26/2023,27522,(PFHxS) PFhexane sulfonic acid,5.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,6/26/2023,27522,(PFHxS) PFhexane sulfonic acid,5.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,6/26/2023,27522,(PFHxS) PFhexane sulfonic acid,5.2ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,6/26/2023,27521,(PFOA) PFoctanoic acid,6.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,4,Pierce,None,,6/26/2023,27521,(PFOA) PFoctanoic acid,6.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,6/26/2023,27521,(PFOA) PFoctanoic acid,6.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,6/26/2023,27522,(PFOA) PFoctanoic acid,7.8ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,4,Pierce,None,,6/26/2023,27522,(PFOA) PFoctanoic acid,7.8ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,6/26/2023,27522,(PFOA) PFoctanoic acid,7.8ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,6/26/2023,27522,(PFOA) PFoctanoic acid,7.8ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,6/26/2023,27522,(PFOA) PFoctanoic acid,7.8ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,6/26/2023,27521,(PFOS) PFoctane sulfonic acid,2.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,4,Pierce,None,,6/26/2023,27521,(PFOS) PFoctane sulfonic acid,2.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,6/26/2023,27521,(PFOS) PFoctane sulfonic acid,2.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,3,Pierce,None,,6/26/2023,27522,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,4,Pierce,None,,6/26/2023,27522,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,5,Pierce,None,,6/26/2023,27522,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,6,Pierce,None,,6/26/2023,27522,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20500,DUPONT WATER SYSTEM CITY OF,9,Pierce,None,,6/26/2023,27522,(PFOS) PFoctane sulfonic acid,3.2ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20692,WHISKEY HOLLOW 670,2,Pierce,None,,12/5/2021,70499,(PFBS) PFbutane sulfonic acid,4.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20692,WHISKEY HOLLOW 670,2,Pierce,None,,12/5/2021,70499,(PFOA) PFoctanoic acid,2.4ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20692,WHISKEY HOLLOW 670,2,Pierce,None,,12/5/2021,70499,(PFOS) PFoctane sulfonic acid,2.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20692,WHISKEY HOLLOW 670,1,Pierce,None,,6/26/2022,40304,(PFBS) PFbutane sulfonic acid,7.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20692,WHISKEY HOLLOW 670,1,Pierce,None,,6/26/2022,40304,(PFHpA) PFheptanoic acid,2.3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
20692,WHISKEY HOLLOW 670,1,Pierce,None,,6/26/2022,40304,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
