,,,,,,,,,,,,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2
Water System ID,Water System Name,Source,County,Action Taken,,Testing Date,Sample Number,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text,Action & No PFAS detected,Action & PFAS detected below State Action Level (SAL),Action & PFAS detected meeting or exceeding State Action Level (SAL),No Action & No PFAS detected,No Action & PFAS detected below State Action Level (SAL),No Action & PFAS detected meeting or exceeding State Action Level (SAL)
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,12/19/2023,61461,(PFHxA) PFhexanoic acid,4ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,12/19/2023,61461,(PFOA) PFoctanoic acid,5.2ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,12/19/2023,61461,(PFOS) PFoctane sulfonic acid,4.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,12/19/2023,61461,(PFPeA) PFpentanoic acid,3.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,2/13/2024,33911,(PFBS) PFbutane sulfonic acid,4.7ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,2/13/2024,33911,(PFHxA) PFhexanoic acid,4.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,2/13/2024,33911,(PFOA) PFoctanoic acid,6.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,2/13/2024,33911,(PFOS) PFoctane sulfonic acid,5.3ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
2871,KUZMANICH WATER SYSTEM,1,Pierce,None,,2/13/2024,33911,(PFPeA) PFpentanoic acid,3.6ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,1,King,None,,5/2/2023,13001,(PFBS) PFbutane sulfonic acid,4.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,5/2/2023,13005,(PFBS) PFbutane sulfonic acid,4.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,2,King,None,,5/2/2023,13003,(PFBS) PFbutane sulfonic acid,4.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,5/2/2023,13005,(PFHxA) PFhexanoic acid,2.9ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,2,King,None,,5/2/2023,13003,(PFHxA) PFhexanoic acid,3.1ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,1,King,None,,5/2/2023,13001,(PFHxA) PFhexanoic acid,3ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,2,King,None,,5/2/2023,13003,(PFOA) PFoctanoic acid,3.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,5/2/2023,13005,(PFOA) PFoctanoic acid,3.9ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,1,King,None,,5/2/2023,13001,(PFOA) PFoctanoic acid,4.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,1,King,None,,5/2/2023,13001,(PFOS) PFoctane sulfonic acid,2.6ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,3,King,None,,5/2/2023,13005,(PFOS) PFoctane sulfonic acid,2.7ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
3014,CRISTALINA,2,King,None,,5/2/2023,13003,(PFOS) PFoctane sulfonic acid,2.8ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
